AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Adelaide,Auckland,2498,1985,1,Adelaide → Auckland
Adelaide,Bahrain,17,1985,1,Adelaide → Bahrain
Adelaide,Bombay,12,1985,1,Adelaide → Bombay
Adelaide,Frankfurt,286,1985,1,Adelaide → Frankfurt
Adelaide,London,3039,1985,1,Adelaide → London
Adelaide,Muscat,31,1985,1,Adelaide → Muscat
Adelaide,Rome,123,1985,1,Adelaide → Rome
Adelaide,Singapore,4533,1985,1,Adelaide → Singapore
Brisbane,Abu Dhabi,3,1985,1,Brisbane → Abu Dhabi
Brisbane,Auckland,12809,1985,1,Brisbane → Auckland
Brisbane,Bahrain,27,1985,1,Brisbane → Bahrain
Brisbane,Bangkok,1037,1985,1,Brisbane → Bangkok
Brisbane,Bombay,89,1985,1,Brisbane → Bombay
Brisbane,Christchurch,5205,1985,1,Brisbane → Christchurch
Brisbane,Frankfurt,283,1985,1,Brisbane → Frankfurt
Brisbane,Hong Kong,3074,1985,1,Brisbane → Hong Kong
Brisbane,Honiara,1152,1985,1,Brisbane → Honiara
Brisbane,Honolulu,654,1985,1,Brisbane → Honolulu
Brisbane,Kuala Lumpur,83,1985,1,Brisbane → Kuala Lumpur
Brisbane,London,3202,1985,1,Brisbane → London
Brisbane,Los Angeles,57,1985,1,Brisbane → Los Angeles
Brisbane,Manila,1805,1985,1,Brisbane → Manila
Brisbane,Muscat,4,1985,1,Brisbane → Muscat
Brisbane,Nadi,1339,1985,1,Brisbane → Nadi
Brisbane,Noumea,631,1985,1,Brisbane → Noumea
Brisbane,Port Moresby,3928,1985,1,Brisbane → Port Moresby
Brisbane,Port Vila,687,1985,1,Brisbane → Port Vila
Brisbane,Rome,72,1985,1,Brisbane → Rome
Brisbane,San Francisco,773,1985,1,Brisbane → San Francisco
Brisbane,Singapore,4593,1985,1,Brisbane → Singapore
Brisbane,Suva,129,1985,1,Brisbane → Suva
Brisbane,Tokyo,920,1985,1,Brisbane → Tokyo
Brisbane,Vancouver,228,1985,1,Brisbane → Vancouver
Brisbane,Wellington,2261,1985,1,Brisbane → Wellington
Cairns,Honolulu,431,1985,1,Cairns → Honolulu
Cairns,Los Angeles,22,1985,1,Cairns → Los Angeles
Cairns,Port Moresby,1932,1985,1,Cairns → Port Moresby
Cairns,San Francisco,504,1985,1,Cairns → San Francisco
Cairns,Vancouver,123,1985,1,Cairns → Vancouver
Darwin,Auckland,487,1985,1,Darwin → Auckland
Darwin,Bahrain,5,1985,1,Darwin → Bahrain
Darwin,Bandar Seri Begawan,598,1985,1,Darwin → Bandar Seri Begawan
Darwin,Bombay,5,1985,1,Darwin → Bombay
Darwin,Denpasar,1427,1985,1,Darwin → Denpasar
Darwin,Frankfurt,58,1985,1,Darwin → Frankfurt
Darwin,Jakarta,93,1985,1,Darwin → Jakarta
Darwin,London,243,1985,1,Darwin → London
Darwin,Rome,28,1985,1,Darwin → Rome
Darwin,Singapore,1835,1985,1,Darwin → Singapore
Hobart,Christchurch,1789,1985,1,Hobart → Christchurch
Melbourne,Abu Dhabi,19,1985,1,Melbourne → Abu Dhabi
Melbourne,Amsterdam,1489,1985,1,Melbourne → Amsterdam
Melbourne,Athens,2657,1985,1,Melbourne → Athens
Melbourne,Auckland,11367,1985,1,Melbourne → Auckland
Melbourne,Bahrain,117,1985,1,Melbourne → Bahrain
Melbourne,Bandar Seri Begawan,126,1985,1,Melbourne → Bandar Seri Begawan
Melbourne,Bangkok,4311,1985,1,Melbourne → Bangkok
Melbourne,Beijing,1040,1985,1,Melbourne → Beijing
Melbourne,Belgrade,2103,1985,1,Melbourne → Belgrade
Melbourne,Bombay,478,1985,1,Melbourne → Bombay
Melbourne,Christchurch,6529,1985,1,Melbourne → Christchurch
Melbourne,Colombo,326,1985,1,Melbourne → Colombo
Melbourne,Denpasar,6438,1985,1,Melbourne → Denpasar
Melbourne,Dubai,46,1985,1,Melbourne → Dubai
Melbourne,Frankfurt,2210,1985,1,Melbourne → Frankfurt
Melbourne,Hong Kong,10743,1985,1,Melbourne → Hong Kong
Melbourne,Honolulu,3812,1985,1,Melbourne → Honolulu
Melbourne,Houston,17,1985,1,Melbourne → Houston
Melbourne,Jakarta,1475,1985,1,Melbourne → Jakarta
Melbourne,Kuala Lumpur,5223,1985,1,Melbourne → Kuala Lumpur
Melbourne,Larnaca,23,1985,1,Melbourne → Larnaca
Melbourne,London,5712,1985,1,Melbourne → London
Melbourne,Los Angeles,4061,1985,1,Melbourne → Los Angeles
Melbourne,Manchester,790,1985,1,Melbourne → Manchester
Melbourne,Manila,4360,1985,1,Melbourne → Manila
Melbourne,Mauritius,29,1985,1,Melbourne → Mauritius
Melbourne,Muscat,309,1985,1,Melbourne → Muscat
Melbourne,Nadi,4679,1985,1,Melbourne → Nadi
Melbourne,Nauru,139,1985,1,Melbourne → Nauru
Melbourne,New York,74,1985,1,Melbourne → New York
Melbourne,Noumea,1178,1985,1,Melbourne → Noumea
Melbourne,Papeete,422,1985,1,Melbourne → Papeete
Melbourne,Port Vila,299,1985,1,Melbourne → Port Vila
Melbourne,Rome,2985,1985,1,Melbourne → Rome
Melbourne,San Francisco,1850,1985,1,Melbourne → San Francisco
Melbourne,Singapore,15312,1985,1,Melbourne → Singapore
Melbourne,Tokyo,561,1985,1,Melbourne → Tokyo
Melbourne,Vancouver,174,1985,1,Melbourne → Vancouver
Melbourne,Wellington,3797,1985,1,Melbourne → Wellington
Norfolk Island,Auckland,913,1985,1,Norfolk Island → Auckland
